股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅,成交量（手）,成交额（千元）
002518.SZ,20221125,49.18,50.26,48.5,48.8,50.28,-1.48,-2.9435,106219.15,523360.487
002518.SZ,20221124,49.0,51.75,48.76,50.28,49.3,0.98,1.9878,214600.64,1086075.268
002518.SZ,20221123,46.17,50.27,45.69,49.3,45.8,3.5,7.6419,236917.29,1143852.132
002518.SZ,20221122,47.86,47.98,45.32,45.8,48.2,-2.4,-4.9793,149138.51,686953.568
002518.SZ,20221121,47.19,49.19,47.17,48.2,47.18,1.02,2.1619,155275.58,747760.597
002518.SZ,20221118,45.98,48.2,44.83,47.18,45.61,1.57,3.4422,188029.28,886294.712
002518.SZ,20221117,45.53,46.67,45.2,45.61,46.31,-0.7,-1.5116,126454.58,579283.354
002518.SZ,20221116,47.12,48.4,44.64,46.31,48.76,-2.45,-5.0246,303962.7,1405792.0
002518.SZ,20221115,48.0,49.45,48.0,48.76,48.0,0.76,1.5833,145888.99,711128.67
002518.SZ,20221114,49.7,50.66,47.39,48.0,50.68,-2.68,-5.2881,206542.22,996265.251
002518.SZ,20221111,53.56,53.59,48.88,50.68,51.85,-1.17,-2.2565,202088.06,1029619.637
002518.SZ,20221110,51.56,53.17,51.56,51.85,52.54,-0.69,-1.3133,89170.5,466031.976
002518.SZ,20221109,52.45,54.6,51.86,52.54,53.15,-0.61,-1.1477,133282.8,710647.887
002518.SZ,20221108,52.33,53.18,50.79,53.15,52.32,0.83,1.5864,146756.36,761129.283
002518.SZ,20221107,54.54,55.45,50.68,52.32,55.56,-3.24,-5.8315,242987.64,1280437.905
002518.SZ,20221104,54.9,56.28,53.65,55.56,54.94,0.62,1.1285,162262.88,895379.509
002518.SZ,20221103,52.15,54.98,52.08,54.94,52.89,2.05,3.876,178360.75,960107.186
002518.SZ,20221102,51.4,53.6,50.76,52.89,52.18,0.71,1.3607,176687.68,927695.383
002518.SZ,20221101,50.01,53.18,50.0,52.18,50.0,2.18,4.36,239262.21,1236253.502
002518.SZ,20221031,50.32,52.06,49.0,50.0,51.0,-1.0,-1.9608,207517.11,1046172.293
002518.SZ,20221028,54.33,56.5,50.22,51.0,55.8,-4.8,-8.6022,308552.33,1620938.522
002518.SZ,20221027,57.68,58.95,55.0,55.8,57.89,-2.09,-3.6103,160680.49,914841.169
002518.SZ,20221026,56.5,60.2,55.8,57.89,56.92,0.97,1.7041,209522.04,1219653.726
002518.SZ,20221025,57.72,58.38,55.9,56.92,58.07,-1.15,-1.9804,196437.05,1120216.014
002518.SZ,20221024,53.3,58.08,52.2,58.07,52.8,5.27,9.9811,267659.4,1508939.045
002518.SZ,20221021,51.35,53.5,50.86,52.8,51.35,1.45,2.8238,150309.35,790217.687
002518.SZ,20221020,53.5,54.01,50.66,51.35,54.5,-3.15,-5.7798,201178.4,1053756.063
002518.SZ,20221019,52.39,55.35,52.18,54.5,54.01,0.49,0.9072,224575.36,1209771.257
002518.SZ,20221018,49.14,54.05,48.73,54.01,49.14,4.87,9.9105,281092.44,1481440.831
002518.SZ,20221017,48.8,50.2,47.5,49.14,49.65,-0.51,-1.0272,144189.13,702499.325
002518.SZ,20221014,50.3,51.22,46.57,49.65,50.0,-0.35,-0.7,285119.89,1391987.261
002518.SZ,20221013,48.0,51.3,47.66,50.0,48.93,1.07,2.1868,242852.01,1212908.743
002518.SZ,20221012,46.16,48.95,43.23,48.93,46.15,2.78,6.0238,201711.09,933931.141
002518.SZ,20221011,44.21,47.02,44.15,46.15,44.14,2.01,4.5537,170724.87,785152.412
002518.SZ,20221010,45.78,46.81,43.55,44.14,45.78,-1.64,-3.5824,164042.8,732727.907
002518.SZ,20220930,48.3,48.97,45.68,45.78,48.46,-2.68,-5.5303,206991.9,972865.932
002518.SZ,20220929,47.49,50.39,46.51,48.46,48.59,-0.13,-0.2675,211736.28,1022757.135
002518.SZ,20220928,48.61,50.0,46.16,48.59,48.35,0.24,0.4964,232786.44,1116564.008
002518.SZ,20220927,48.0,48.79,47.0,48.35,47.68,0.67,1.4052,201532.5,962287.712
002518.SZ,20220926,43.99,48.76,43.77,47.68,45.0,2.68,5.9556,241111.82,1136306.877
002518.SZ,20220923,43.28,46.56,42.0,45.0,43.08,1.92,4.4568,259613.01,1145019.899
002518.SZ,20220922,40.5,44.56,39.1,43.08,40.51,2.57,6.3441,254816.62,1093724.504
002518.SZ,20220921,39.3,41.14,39.02,40.51,39.88,0.63,1.5797,186319.54,751799.184
002518.SZ,20220920,38.6,40.95,38.38,39.88,38.0,1.88,4.9474,184455.51,732641.769
002518.SZ,20220919,37.37,39.49,37.25,38.0,37.63,0.37,0.9833,121489.43,463342.755
002518.SZ,20220916,37.37,39.13,37.01,37.63,38.6,-0.97,-2.513,186696.32,709638.399
002518.SZ,20220915,42.4,42.88,38.6,38.6,42.89,-4.29,-10.0023,214337.62,848140.137
002518.SZ,20220914,41.49,43.88,40.98,42.89,41.85,1.04,2.4851,228051.55,963932.353
002518.SZ,20220913,42.02,42.23,40.41,41.85,42.23,-0.38,-0.8998,146952.39,606679.49
002518.SZ,20220909,44.78,44.9,41.33,42.23,44.73,-2.5,-5.5891,220881.42,938447.854
002518.SZ,20220908,44.21,46.35,43.58,44.73,44.18,0.55,1.2449,228978.27,1036115.19
002518.SZ,20220907,42.83,46.4,42.53,44.18,42.82,1.36,3.1761,353891.63,1565248.055
002518.SZ,20220906,39.0,42.82,38.1,42.82,38.93,3.89,9.9923,235771.42,958847.13
002518.SZ,20220905,39.0,41.5,38.1,38.93,39.41,-0.48,-1.218,284097.39,1127523.205
002518.SZ,20220902,39.4,40.47,37.06,39.41,39.39,0.02,0.0508,191965.79,749953.223
002518.SZ,20220901,38.73,39.97,38.0,39.39,39.51,-0.12,-0.3037,207825.37,810296.024
002518.SZ,20220831,43.9,44.18,39.51,39.51,43.9,-4.39,-10.0,233172.9,948383.53
002518.SZ,20220830,45.41,47.5,43.41,43.9,45.47,-1.57,-3.4528,230058.36,1035875.792
002518.SZ,20220829,44.63,46.64,42.84,45.47,44.59,0.88,1.9735,202573.5,920301.49
002518.SZ,20220826,46.9,48.5,43.82,44.59,47.41,-2.82,-5.9481,310673.28,1425964.308
002518.SZ,20220825,48.2,50.69,46.51,47.41,47.47,-0.06,-0.1264,312467.34,1502091.337
002518.SZ,20220824,48.0,50.5,46.0,47.47,45.95,1.52,3.3079,329947.7,1575754.952
002518.SZ,20220823,41.82,45.95,41.62,45.95,41.77,4.18,10.0072,111476.01,494934.135
002518.SZ,20220822,42.0,42.67,40.6,41.77,41.95,-0.18,-0.4291,179979.18,745960.775
002518.SZ,20220819,42.0,43.79,41.0,41.95,41.46,0.49,1.1819,267269.02,1138184.173
002518.SZ,20220818,40.5,42.18,40.0,41.46,40.77,0.69,1.6924,304259.59,1251082.689
002518.SZ,20220817,38.59,41.6,38.33,40.77,37.82,2.95,7.8001,427191.72,1728928.459
002518.SZ,20220816,36.09,37.82,35.86,37.82,34.38,3.44,10.0058,186997.95,695703.767
002518.SZ,20220815,32.87,34.38,32.55,34.38,31.25,3.13,10.016,152098.74,515477.672
002518.SZ,20220812,32.5,33.16,31.18,31.25,33.0,-1.75,-5.303,145424.04,462517.116
002518.SZ,20220811,33.98,34.48,32.55,33.0,34.08,-1.08,-3.169,103941.48,343384.242
002518.SZ,20220810,33.97,34.6,33.33,34.08,34.04,0.04,0.1175,94796.75,322164.672
002518.SZ,20220809,33.6,35.1,33.21,34.04,33.73,0.31,0.9191,124113.61,426806.368
002518.SZ,20220808,33.0,34.39,31.13,33.73,33.13,0.6,1.811,143724.71,473246.814
002518.SZ,20220805,34.04,35.1,32.32,33.13,34.08,-0.95,-2.7876,134944.6,448863.114
002518.SZ,20220804,34.65,34.99,33.45,34.08,34.55,-0.47,-1.3603,133676.73,455193.931
002518.SZ,20220803,36.04,36.69,34.21,34.55,35.69,-1.14,-3.1942,114403.54,402272.14
002518.SZ,20220802,35.6,36.5,34.94,35.69,36.33,-0.64,-1.7616,119429.59,427314.308
002518.SZ,20220801,35.48,36.97,34.38,36.33,35.51,0.82,2.3092,157344.76,564472.564
002518.SZ,20220729,34.5,36.5,34.3,35.51,33.77,1.74,5.1525,198418.61,706849.997
002518.SZ,20220728,33.98,34.74,32.8,33.77,33.09,0.68,2.055,170819.37,577169.47
002518.SZ,20220727,30.64,33.39,30.64,33.09,30.6,2.49,8.1373,201164.31,653780.546
002518.SZ,20220726,29.65,31.01,29.3,30.6,30.31,0.29,0.9568,147939.71,447456.972
002518.SZ,20220725,33.28,33.28,30.31,30.31,33.68,-3.37,-10.0059,193646.62,598225.401
002518.SZ,20220722,33.9,35.2,32.95,33.68,34.42,-0.74,-2.1499,219355.57,740429.23
002518.SZ,20220721,33.85,36.28,33.85,34.42,34.09,0.33,0.968,190809.8,669090.744
002518.SZ,20220720,34.76,35.19,33.22,34.09,34.51,-0.42,-1.217,166595.27,566411.675
002518.SZ,20220719,34.76,35.45,33.6,34.51,34.76,-0.25,-0.7192,222975.52,766536.073
002518.SZ,20220718,31.76,34.76,31.76,34.76,31.6,3.16,10.0,233537.41,780537.138
002518.SZ,20220715,31.64,33.22,30.6,31.6,31.6,0.0,0.0,226459.13,727234.818
002518.SZ,20220714,29.96,32.8,29.59,31.6,30.1,1.5,4.9834,229885.2,734300.608
002518.SZ,20220713,28.3,30.56,28.04,30.1,28.52,1.58,5.54,202306.5,600014.743
002518.SZ,20220712,30.28,31.3,28.45,28.52,30.87,-2.35,-7.6126,207697.32,609851.583
002518.SZ,20220711,31.1,31.52,29.58,30.87,31.36,-0.49,-1.5625,159065.97,482980.529
002518.SZ,20220708,33.33,33.89,30.93,31.36,33.23,-1.87,-5.6274,206232.9,669576.95
002518.SZ,20220707,30.6,33.89,29.95,33.23,30.92,2.31,7.4709,274912.32,898076.673
002518.SZ,20220706,30.2,31.45,29.78,30.92,30.8,0.12,0.3896,121476.07,372467.921
002518.SZ,20220705,32.1,32.37,30.25,30.8,32.13,-1.33,-4.1394,204713.47,637460.591
002518.SZ,20220704,28.92,32.43,28.92,32.13,29.48,2.65,8.9891,266829.98,840655.731
002518.SZ,20220701,30.6,30.66,29.0,29.48,30.6,-1.12,-3.6601,179620.22,531526.988
002518.SZ,20220630,28.09,30.84,28.09,30.6,28.04,2.56,9.1298,270821.18,812267.768
002518.SZ,20220629,29.38,29.44,27.99,28.04,29.99,-1.95,-6.5022,214269.54,611676.688
002518.SZ,20220628,29.18,30.56,28.8,29.99,29.5,0.49,1.661,198284.55,589908.868
