股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅,成交量（手）,成交额（千元）
600517.SH,20221125,5.13,5.18,5.11,5.16,5.14,0.02,0.3891,77944.79,40130.103
600517.SH,20221124,5.21,5.23,5.12,5.14,5.22,-0.08,-1.5326,113674.28,58536.25
600517.SH,20221123,5.1,5.28,5.09,5.22,5.1,0.12,2.3529,184615.0,95683.132
600517.SH,20221122,5.14,5.17,5.07,5.1,5.14,-0.04,-0.7782,117594.17,60140.71
600517.SH,20221121,5.15,5.17,5.1,5.14,5.18,-0.04,-0.7722,88204.16,45298.433
600517.SH,20221118,5.15,5.23,5.12,5.18,5.16,0.02,0.3876,138631.72,71746.24
600517.SH,20221117,5.15,5.17,5.1,5.16,5.17,-0.01,-0.1934,109437.49,56181.428
600517.SH,20221116,5.2,5.26,5.13,5.17,5.21,-0.04,-0.7678,119582.43,62051.718
600517.SH,20221115,5.08,5.26,5.06,5.21,5.08,0.13,2.5591,196811.67,102233.531
600517.SH,20221114,5.11,5.16,5.07,5.08,5.1,-0.02,-0.3922,113292.0,57978.078
600517.SH,20221111,5.15,5.18,5.1,5.1,5.07,0.03,0.5917,126813.92,65091.253
600517.SH,20221110,5.03,5.1,5.03,5.07,5.07,0.0,0.0,83020.5,42046.146
600517.SH,20221109,5.12,5.12,5.05,5.07,5.11,-0.04,-0.7828,74174.38,37670.382
600517.SH,20221108,5.1,5.13,5.07,5.11,5.11,0.0,0.0,66319.59,33793.533
600517.SH,20221107,5.12,5.18,5.09,5.11,5.13,-0.02,-0.3899,102861.75,52724.097
600517.SH,20221104,5.05,5.15,5.05,5.13,5.01,0.12,2.3952,144062.95,73724.048
600517.SH,20221103,4.98,5.04,4.97,5.01,5.02,-0.01,-0.1992,61236.38,30680.474
600517.SH,20221102,5.02,5.05,4.99,5.02,5.02,0.0,0.0,85976.41,43171.092
600517.SH,20221101,4.85,5.03,4.81,5.02,4.82,0.2,4.1494,150357.68,74594.032
600517.SH,20221031,4.75,4.85,4.67,4.82,4.74,0.08,1.6878,92093.13,44043.782
600517.SH,20221028,4.96,4.98,4.71,4.74,4.96,-0.22,-4.4355,124731.79,60224.968
600517.SH,20221027,4.98,5.01,4.96,4.96,4.98,-0.02,-0.4016,96306.31,48012.685
600517.SH,20221026,4.97,5.05,4.95,4.98,4.98,0.0,0.0,123327.6,61623.738
600517.SH,20221025,4.98,5.04,4.89,4.98,5.0,-0.02,-0.4,96080.02,47705.612
600517.SH,20221024,5.07,5.15,4.97,5.0,5.08,-0.08,-1.5748,114253.24,57812.937
600517.SH,20221021,5.08,5.27,5.05,5.08,5.03,0.05,0.994,126386.1,64515.521
600517.SH,20221020,5.04,5.09,4.97,5.03,5.04,-0.01,-0.1984,89380.97,44947.142
600517.SH,20221019,5.06,5.09,5.02,5.04,5.05,-0.01,-0.198,91865.77,46445.629
600517.SH,20221018,5.07,5.08,5.01,5.05,5.02,0.03,0.5976,87683.26,44214.152
600517.SH,20221017,4.98,5.03,4.95,5.02,4.98,0.04,0.8032,80764.44,40425.75
600517.SH,20221014,4.94,5.02,4.94,4.98,4.93,0.05,1.0142,95561.0,47709.157
600517.SH,20221013,4.92,4.98,4.9,4.93,4.95,-0.02,-0.404,85192.48,42046.79
600517.SH,20221012,4.8,4.95,4.75,4.95,4.79,0.16,3.3403,116328.66,56279.381
600517.SH,20221011,4.69,4.82,4.69,4.79,4.67,0.12,2.5696,93446.71,44511.755
600517.SH,20221010,4.72,4.79,4.65,4.67,4.7,-0.03,-0.6383,96048.56,45413.091
600517.SH,20220930,4.71,4.77,4.69,4.7,4.71,-0.01,-0.2123,75014.21,35486.9
600517.SH,20220929,4.82,4.87,4.69,4.71,4.77,-0.06,-1.2579,89679.2,42721.22
600517.SH,20220928,4.9,4.92,4.76,4.77,4.9,-0.13,-2.6531,83972.21,40491.388
